update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
22,97.41100311279297,0.71,48.5,0.21,-0.0017278839368373156,1074.009536743164,1.4093006700277328,10
23,98.86601257324219,0.72,48.98,0.22,0.0018228748813271523,946.7871170043945,1.3666536659002304,10
24,104.73702239990234,0.73,53.52,0.17,0.0005916580557823181,747.593620300293,1.3685726672410965,10
25,119.38001251220703,0.8,52.1,0.1,-0.005187455797567964,479.35425186157227,1.3405353128910065,10
26,110.53201293945312,0.77,49.6,0.12,0.008444848994258791,786.5170364379883,1.3787727504968643,10
27,120.24901580810547,0.82,49.09,0.12,0.002377736382186413,561.0214691162109,1.3374854028224945,10
28,120.06602478027344,0.81,51.32,0.12,-0.004971247515641153,518.1906929016113,1.334579974412918,10
29,127.00602722167969,0.85,51.79,0.1,0.0010927929542958736,582.6334037780762,1.3206257820129395,10
30,117.42102813720703,0.83,47.79,0.13,0.018620633287355304,763.8366355895996,1.3008869886398315,10
31,123.64501953125,0.85,46.75,0.11,0.0018792521441355348,286.1931447982788,1.3008241057395935,10
32,132.66502380371094,0.86,49.26,0.06,0.011007314547896385,569.7739028930664,1.306918904185295,10
33,139.52601623535156,0.87,52.41,0.02,0.0009393347427248955,243.82224655151367,1.2681590169668198,10
34,133.40101623535156,0.83,52.42,0.03,0.00875670532695949,370.35919189453125,1.2509766221046448,10
35,139.94003295898438,0.87,51.73,0.02,0.002175969275413081,308.2821388244629,1.2362923473119736,10
36,129.11903381347656,0.81,52.23,0.08,0.00014479155652225018,1135.8124694824219,1.2248544842004776,10
37,124.17102813720703,0.8,51.85,0.1,0.004973283968865871,560.0771522521973,1.2011038064956665,10
38,125.48302459716797,0.79,52.83,0.09,0.0008353879675269127,327.04297637939453,1.2755372524261475,10
39,145.1670379638672,0.87,53.53,0.02,-0.000924217514693737,144.3187551498413,1.2803517282009125,10
40,146.40902709960938,0.88,54.11,0.03,-0.002337082289159298,475.29382514953613,1.3111846297979355,10
41,141.85301208496094,0.88,53.07,0.04,0.0029823199001839384,599.0591640472412,1.2776694297790527,10
42,126.22601318359375,0.81,54.08,0.07,0.01744725927710533,409.6123733520508,1.3786417245864868,10
43,126.8210220336914,0.82,55.53,0.06,0.00563973723910749,529.5038719177246,1.3086300194263458,10
44,131.08001708984375,0.82,53.28,0.04,-0.003687286749482155,323.92273712158203,1.2279195487499237,10
45,137.14102172851562,0.86,49.09,0.05,0.01889920001849532,531.0114116668701,1.2344363927841187,10
46,137.88002014160156,0.9,45.07,0.07,0.005061403149738908,460.0889434814453,1.18373541533947,10
